project,year_month,prs_merged,cycle_median_days,cycle_p90_days,unique_contributors,comment_mean,comment_median,additions_median,deletions_median,files_median,additions_mean,deletions_mean,files_mean,era,date,month_num,new_authors,returning_authors,new_ratio,prs_opened,merge_rate
SGLang,2025-05,403,0.7609953703703703,12.521171296296302,96,1.4838709677419355,0.0,21.0,5.0,2.0,123.50753768844221,41.69597989949749,4.175879396984925,3,2025-05-01,26.938239159001313,32.0,64.0,0.3333333333333333,595,0.6773109243697479
SGLang,2025-06,384,0.49487847222222214,11.91649884259259,102,1.75,0.0,19.5,5.0,2.0,169.5026178010471,53.07068062827225,4.481675392670157,3,2025-06-01,27.95663600525624,31.0,71.0,0.30392156862745096,588,0.6530612244897959
SGLang,2025-07,436,0.6517881944444445,18.458645833333335,127,1.7087155963302751,0.0,18.0,4.0,2.0,192.95591647331787,52.48259860788863,3.9071925754060324,3,2025-07-01,28.942181340341655,61.0,66.0,0.48031496062992124,668,0.6526946107784432
SGLang,2025-08,681,0.3677430555555555,14.475729166666667,182,1.854625550660793,1.0,22.0,5.0,2.0,166.66218236173393,47.940209267563525,3.9970104633781762,3,2025-08-01,29.96057818659658,75.0,107.0,0.41208791208791207,898,0.7583518930957683
SGLang,2025-09,640,0.36947337962962956,13.612260416666674,178,1.975,1.0,22.0,5.0,2.0,175.9501607717042,62.40192926045016,3.990353697749196,3,2025-09-01,30.97897503285151,74.0,104.0,0.4157303370786517,950,0.6736842105263158
SGLang,2025-10,811,0.6578703703703703,15.233252314814814,190,2.4032059186189887,1.0,26.0,5.0,2.0,221.25408805031446,78.17358490566038,5.0352201257861635,3,2025-10-01,31.964520367936924,67.0,123.0,0.3526315789473684,1041,0.7790585975024016
SGLang,2025-11,879,0.5937152777777778,14.177009259259265,231,2.4550625711035265,2.0,17.0,5.0,2.0,192.5270425776755,51.62140391254315,4.216340621403913,3,2025-11-01,32.98291721419185,92.0,139.0,0.39826839826839827,1298,0.6771956856702619
SGLang,2025-12,1113,0.3915625,10.475016203703717,223,3.307277628032345,2.0,31.0,7.0,2.0,168.53203342618386,54.652739090065,4.55338904363974,3,2025-12-01,33.96846254927726,82.0,141.0,0.36771300448430494,1715,0.6489795918367347
SGLang,2026-01,986,0.9275983796296297,15.887731481481481,242,3.8509127789046653,2.0,29.0,6.0,2.0,217.60593220338984,132.26588983050848,4.808262711864407,3,2026-01-01,34.98685939553219,86.0,156.0,0.35537190082644626,1518,0.6495388669301713
SGLang,2026-02,773,1.050613425925926,19.44393055555556,247,4.455368693402328,3.0,28.0,6.0,2.0,190.98293963254594,71.63385826771653,4.170603674540683,3,2026-02-01,36.00525624178712,74.0,173.0,0.29959514170040485,1229,0.628966639544345
SGLang,2026-03,997,1.1208680555555557,23.619071759259253,286,4.869608826479438,3.0,27.0,6.0,2.0,176.02349336057202,76.9009193054137,4.606741573033708,3,2026-03-01,36.925098554533506,99.0,187.0,0.34615384615384615,1783,0.5591699383062254
